,net_returns,gross_returns,turnover,eth_beta_rolling,pc1_beta_rolling
2024-09-19,0.005417143583978297,0.006167143583978297,0.15000000000000002,0.023028616216597516,-0.00012296262491271024
2024-09-20,-0.00012914821605762886,0.0006208517839423712,0.15,0.02213711404414328,-0.00012761882476462476
2024-09-21,-0.00778031397338672,-0.00703031397338672,0.15000000000000002,0.020194710297063222,-0.00016783649332935128
2024-09-22,0.003995890556484964,0.004745890556484964,0.14999999999999997,0.0195758668786094,-0.00017844361587745052
2024-09-23,0.0010234040524381633,0.001773404052438163,0.14999999999999997,0.02151711778611866,-0.0001962070291260696
2024-09-24,-0.011755975100112972,-0.011005975100112971,0.15000000000000002,0.022384408364561105,-0.00022404859595764662
2024-09-25,-0.004048084942163799,-0.0032980849421637985,0.15,0.02323177373740073,-0.0002269386021598589
2024-09-26,-0.0017580907157762635,-0.0010080907157762635,0.15,0.02299869557911295,-0.00024738919974534227
2024-09-27,0.0009057986656616706,0.0016557986656616707,0.15000000000000002,0.02298277050341911,-0.00024970367599819296
2024-09-28,0.0009638454433451467,0.0017138454433451465,0.14999999999999997,0.02278582828410606,-0.00025725728966044065
2024-09-29,-0.006187105728260562,-0.005437105728260562,0.14999999999999997,0.02320198981006262,-0.00026938494373820483
2024-09-30,0.004924658507386998,0.005674658507386998,0.14999999999999997,0.022164025557912536,-0.00028303957650633135
2024-10-01,0.0040334691374214185,0.004783469137421418,0.14999999999999997,0.02020037542434655,-0.00029084118363939835
2024-10-02,-6.158094697844107e-05,0.000688419053021559,0.15000000000000002,0.021302570801816283,-0.0002811298462091798
2024-10-03,0.001973978247704171,0.002723978247704171,0.15000000000000002,0.022361460805553266,-0.00028925187287484995
2024-10-04,-0.00518375000445891,-0.00443375000445891,0.15000000000000002,0.02885428877734558,-0.00034131792432627215
2024-10-05,0.000566015727587121,0.001316015727587121,0.15,0.029962592546101743,-0.00033590969278028264
2024-10-06,0.004331187260976324,0.005081187260976324,0.14999999999999997,0.029494270851728187,-0.00031357821051615785
2024-10-07,4.741166782416513e-05,0.0007974116678241653,0.15000000000000002,0.013264693908602413,-0.0002574025850680196
2024-10-08,0.0021496509303748873,0.0028996509303748875,0.15000000000000002,0.01115178925539839,-0.00024592584233299364
2024-10-09,-0.0015202945662605926,-0.0007702945662605926,0.15,0.01175408123209361,-0.00024729398873760307
2024-10-10,-0.0014908678275939928,-0.0007408678275939928,0.15000000000000002,0.011787731339022976,-0.0002596763621601915
2024-10-11,-0.001837665693719987,-0.0010876656937199873,0.14999999999999997,0.004417731653051982,-0.00023931625103556625
2024-10-12,0.0010718971778896655,0.0018218971778896655,0.15,0.0046676292545728484,-0.00023773658871590095
2024-10-13,-0.0008213072587008126,-7.130725870081255e-05,0.15,0.004405533499051705,-0.00023608198206308625
2024-10-14,0.005716574788745465,0.006466574788745465,0.15,0.007948948135557797,-0.00026112642275362316
2024-10-15,-0.0060795203733684565,-0.005329520373368457,0.15000000000000002,0.008734992687088619,-0.00024232667090349876
2024-10-16,-0.0003732796472758287,0.0003767203527241711,0.14999999999999997,0.00833496805806379,-0.00024000908453774498
2024-10-17,0.0022367765215768453,0.0029867765215768455,0.15000000000000002,0.008214943608295822,-0.00024880133822763063
2024-10-18,-0.005877751357950938,-0.005127751357950938,0.15000000000000002,0.005985466928865062,-0.0002733322605208797
2024-10-19,9.403608474471323e-05,0.0008440360847447132,0.15,0.005717560861037501,-0.0002869525736489143
2024-10-20,-0.0009632803310420518,-0.00021328033104205173,0.15000000000000002,0.004728388740000866,-0.0002908270052874531
2024-10-21,0.0019665301639468966,0.0027165301639468964,0.14999999999999997,0.0033060398080685363,-0.0002993761496999161
2024-10-22,0.0007565536923121688,0.0015065536923121686,0.14999999999999997,0.00278366761415887,-0.00029840184130483044
2024-10-23,-5.1243415748982086e-05,0.000698756584251018,0.15000000000000002,0.0024685544915424274,-0.00030451080233069437
2024-10-24,-0.00438849948282713,-0.0036384994828271306,0.15,0.0014633898255404646,-0.0003118196886291825
2024-10-25,0.0027548750728577727,0.0035048750728577725,0.14999999999999997,-0.00023380258854989816,-0.00031452745436625495
