time,MINA,SNX,CELO,GAS,GMT,POLYX,PEOPLE,REQ,YGG,ILV,BNT
2023-12-07,0.0024219277999999998,0.0025093213,,0.0015375633,0.001820738,,,0.00012004520000000002,,0.0028859268,
2023-12-08,0.00388489,0.0037636201,,0.002192611,0.0020975728,,,0.0011592742,,0.0045363254,
2023-12-09,0.0050138742,0.0034842774,,0.002267071,0.0030966924,,,0.0011403095000000001,,0.0046348814,
2023-12-10,0.0034223863,0.0024626355,,0.0017723612000000001,0.0021135129,,,0.0003956923,,0.0013769711,
2023-12-11,0.0032999428,0.0029691841,,-9.717639999999995e-05,0.0002879561,,,0.0004083607,,-0.0003000563,
2023-12-12,0.0026849077,0.003120056,,0.0006200927,0.0003937951,,,0.0002608655,,0.0004616298,
2023-12-13,0.0012703618,0.0024831063000000002,,0.001482463,0.0011575193,,,4.9933100000000005e-05,,0.0007644408,
2023-12-14,0.0014639049,0.0022771193,,0.001832896,0.0013024184,,,,,0.0010414859999999999,
2023-12-15,0.0026117711,0.0018618523,,0.0021661829,0.0018019932,,,,,0.0021002824,
2023-12-16,0.0024557461,0.002657581,,0.0013160111,0.0015511751,,,,,0.0010547224,
2023-12-17,0.0026113494,-8.33301e-05,,0.0013786919,0.0007948698,,,,,0.0005704852,
2023-12-18,0.0017361253,0.0012112452000000002,,0.00105713,,,,,,0.0010615171,
2023-12-19,0.000867514,0.0013547937,,0.0010384582,,,,,,0.0011421398,
2023-12-20,0.0035167527,0.001041044,,0.0015049262,,,,,,0.0011977331000000001,
2023-12-21,0.001387655,0.0037860613,,0.001986359,,,,,,0.0021014381,
2023-12-22,0.0017531808,0.0004357029,,0.0021715081,,,,,,0.0023708353,
2023-12-23,0.0031036371,0.0040727608,,0.0024909133,,,,,,0.0008769056000000001,
2023-12-24,0.0083519674,0.0014909646,,0.002276281,,,,,,0.0015105067,
2023-12-25,0.0065868833,0.000269231,,0.002074886,,,,,,0.0038455421,
2023-12-26,0.0028999331,0.0024295671,,0.0021131263,,,,,,0.0025309348,
2023-12-27,0.0079868331,0.0010838532000000001,,0.0017797173,,,,,,0.0016164878,
2023-12-28,0.0048983489,0.0055468738,,0.0023922616,,,,,,0.0017635789,
2023-12-29,0.0039200664,0.002271411,,0.0022661654,,,,,,0.0025107675,
2023-12-30,0.0040282524,0.0030263329,,0.0013682149,,,,,,0.0028215908,
2023-12-31,0.0049309639,0.0028531788,,0.001272288,,,,,,0.0021286,
